@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2024/02/28 01:11:13:640',1,0.00336,0.002805,0.004999,0.1962,0.0795,-2.63637,1,0,0
2,'2024/02/28 01:11:13:681',1,0.0036,0.001276,0.006098,0.196259,0.079349,-2.636364,1,0,0
3,'2024/02/28 01:11:13:682',1,0.005462,0.001755,0.002415,0.196436,0.078978,-2.636186,1,0,0
4,'2024/02/28 01:11:13:683',1,0.003837,0.00098,0.007048,0.19675,0.078459,-2.635935,1,0,0
5,'2024/02/28 01:11:13:683',1,0.000359,0.004011,0.011918,0.196854,0.078164,-2.635798,1,0,0
6,'2024/02/28 01:11:13:683',1,-0.003407,0.001537,0.008393,0.196571,0.078094,-2.635924,1,0,0
7,'2024/02/28 01:11:13:738',1,0.000574,0.003043,0.007191,0.196194,0.078604,-2.636458,1,0,0
8,'2024/02/28 01:11:13:743',1,0.009418,0.002903,0.004534,0.195957,0.078825,-2.636838,1,0,0
9,'2024/02/28 01:11:13:779',1,0.004854,0.000779,0.000118,0.195908,0.078639,-2.636938,1,0,0
10,'2024/02/28 01:11:13:901',1,0.003191,0.002407,0.00466,0.196184,0.078206,-2.636891,1,0,0
11,'2024/02/28 01:11:13:902',1,0.000781,0.001379,0.011645,0.196333,0.078067,-2.636914,1,0,0
12,'2024/02/28 01:11:13:903',1,0.003364,0.001214,0.007031,0.19604,0.078089,-2.637022,1,0,0
13,'2024/02/28 01:11:13:910',1,0.002333,0.002402,0.002554,0.195898,0.078143,-2.637256,1,0,0
14,'2024/02/28 01:11:14:080',1,0.002814,0.002138,0.008723,0.195784,0.078164,-2.637502,1,0,0
15,'2024/02/28 01:11:14:082',1,0.004756,0.002494,0.006848,0.195556,0.078515,-2.637753,1,0,0
16,'2024/02/28 01:11:14:082',1,0.010416,0.00009,-0.00216,0.195579,0.07833,-2.637612,1,0,0
17,'2024/02/28 01:11:14:083',1,0.002942,0.002625,0.002035,0.196079,0.077679,-2.637239,1,0,0
18,'2024/02/28 01:11:14:083',1,-0.00395,0.003722,0.016679,0.196388,0.077351,-2.637167,1,0,0
19,'2024/02/28 01:11:14:111',1,0.003094,0.002106,0.006473,0.19597,0.077787,-2.637374,1,0,0
20,'2024/02/28 01:11:14:254',1,0.006402,0.002133,-0.001155,0.195763,0.078099,-2.637507,1,0,0
21,'2024/02/28 01:11:14:254',1,0.00893,0.001874,0.002054,0.196091,0.077797,-2.637249,1,0,0
22,'2024/02/28 01:11:14:254',1,-0.001431,0.003691,0.011722,0.196528,0.077367,-2.636826,1,0,0
23,'2024/02/28 01:11:14:255',1,-0.00476,0.002273,0.010564,0.196591,0.077387,-2.636753,1,0,0
24,'2024/02/28 01:11:14:412',1,0.000779,0.000846,0.008877,0.196318,0.077991,-2.637102,1,0,0
25,'2024/02/28 01:11:14:413',1,0.007595,0.001713,0.003309,0.195942,0.078521,-2.637362,1,0,0
26,'2024/02/28 01:11:14:414',1,0.008514,0.001014,0.000335,0.195852,0.078531,-2.637343,1,0,0
27,'2024/02/28 01:11:14:415',1,0.003312,0.002264,0.005916,0.196115,0.078112,-2.63703,1,0,0
28,'2024/02/28 01:11:14:415',1,-0.002033,0.003093,0.010088,0.196306,0.077948,-2.636844,1,0,0
29,'2024/02/28 01:11:14:447',1,-0.000393,0.001493,0.013063,0.1962,0.07822,-2.636946,1,0,0
30,'2024/02/28 01:11:14:587',1,0.006424,0.002039,0.003949,0.195715,0.078716,-2.637159,1,0,0
31,'2024/02/28 01:11:14:588',1,0.002612,0.001368,0.004312,0.195451,0.079021,-2.637259,1,0,0
32,'2024/02/28 01:11:14:588',1,0.000353,0.003102,0.005414,0.195196,0.079423,-2.637511,1,0,0
33,'2024/02/28 01:11:14:589',1,0.009117,0.00006,0.002305,0.195082,0.079853,-2.637661,1,0,0
34,'2024/02/28 01:11:14:610',1,0.00667,0.00253,0.00507,0.195204,0.079704,-2.637414,1,0,0
35,'2024/02/28 01:11:14:646',1,-0.000819,0.003073,0.008678,0.195259,0.07967,-2.637106,1,0,0
36,'2024/02/28 01:11:14:678',1,0.001024,0.001062,0.007489,0.194906,0.080136,-2.63714,1,0,0
37,'2024/02/28 01:11:14:710',1,0.004894,0.003136,0.000875,0.194624,0.080528,-2.637222,0.99,0,0
38,'2024/02/28 01:11:14:746',1,0.005954,0.002313,0.001008,0.194749,0.080664,-2.637227,0.99,0,0
39,'2024/02/28 01:11:14:778',1,0.005894,0.001201,0.006678,0.195015,0.08048,-2.637034,0.99,0,0
40,'2024/02/28 01:11:14:810',1,0.001642,0.001415,0.010425,0.195094,0.080366,-2.636775,0.98,0,0
41,'2024/02/28 01:11:14:844',1,0.000114,0.002903,0.01009,0.194931,0.080569,-2.636657,0.97,0,0
42,'2024/02/28 01:11:14:876',1,0.006105,0.000072,0.002562,0.194721,0.080758,-2.636716,0.96,0,0
43,'2024/02/28 01:11:14:910',1,-0.000173,0.00166,0.009206,0.1948,0.080876,-2.636708,0.95,0,0
44,'2024/02/28 01:11:14:943',1,0.003675,0.001024,0.005627,0.194648,0.081151,-2.636931,0.95,0,0
45,'2024/02/28 01:11:14:977',1,0.007294,0.001033,-0.000491,0.194829,0.081088,-2.636917,0.95,0,0
46,'2024/02/28 01:11:15:010',1,0.004901,0.002301,0.010177,0.195157,0.080655,-2.636724,0.95,0,0
47,'2024/02/28 01:11:15:043',1,-0.001184,0.003898,0.00961,0.195168,0.080464,-2.636578,0.95,0,0
48,'2024/02/28 01:11:15:077',1,-0.000488,0.00085,0.006066,0.195109,0.080656,-2.636648,0.95,0,0
49,'2024/02/28 01:11:15:110',1,0.007604,0.0008,0.007779,0.19512,0.080776,-2.636636,0.95,0,0
50,'2024/02/28 01:11:15:143',1,0.002543,0.001218,0.004957,0.195096,0.080631,-2.636377,0.96,0,0
51,'2024/02/28 01:11:15:177',1,-0.001159,0.003149,0.004299,0.195198,0.080595,-2.636366,0.98,0,0
52,'2024/02/28 01:11:15:213',1,0.00324,0.002454,0.008837,0.195345,0.080733,-2.636608,0.99,0,0
53,'2024/02/28 01:11:15:245',1,0.005468,0.00194,0.005605,0.195302,0.080811,-2.636738,0.99,0,0
54,'2024/02/28 01:11:15:277',1,0.00651,0.000955,0.002839,0.195387,0.080652,-2.6366,0.99,0,0
55,'2024/02/28 01:11:15:311',1,0.001875,0.002828,0.008538,0.195757,0.080232,-2.636363,0.99,0,0
56,'2024/02/28 01:11:15:344',1,0.002279,0.002837,0.00953,0.195968,0.080087,-2.636243,1,0,0
57,'2024/02/28 01:11:15:377',1,0.001794,0.000783,0.00816,0.195912,0.080193,-2.636232,1,0,0
58,'2024/02/28 01:11:15:410',1,0.00223,0.001101,0.004394,0.195878,0.08023,-2.636214,1,0,0
59,'2024/02/28 01:11:15:444',1,0.003032,0.001762,0.007744,0.195992,0.080238,-2.636236,1,0,0
60,'2024/02/28 01:11:15:478',1,0.003182,0.003236,0.008457,0.195986,0.080304,-2.636144,1,0,0
61,'2024/02/28 01:11:15:511',1,0.000176,0.001409,0.006473,0.195788,0.08041,-2.636145,1,0,0
62,'2024/02/28 01:11:15:544',1,0.004334,0.001878,0.004137,0.19566,0.080743,-2.636227,1,0,0
63,'2024/02/28 01:11:15:576',1,0.007502,0.002672,0.006456,0.19566,0.080749,-2.63614,1,0,0
64,'2024/02/28 01:11:15:610',1,0.002008,0.00175,0.005302,0.195591,0.080655,-2.635866,0.99,0,0
65,'2024/02/28 01:11:15:644',1,-0.000058,0.002779,0.006507,0.195535,0.080785,-2.635817,0.98,0,0
66,'2024/02/28 01:11:15:723',1,0.002793,0.002527,0.00724,0.195434,0.081036,-2.635908,0.95,0,0
67,'2024/02/28 01:11:15:725',1,0.00621,0.00171,0.006069,0.195223,0.081299,-2.63606,0.95,0,0
68,'2024/02/28 01:11:15:744',1,0.004956,0.003179,0.005423,0.19515,0.081347,-2.636054,0.95,0,0
69,'2024/02/28 01:11:15:778',1,0.002893,0.002199,0.004107,0.195147,0.081413,-2.636025,0.95,0,0
70,'2024/02/28 01:11:15:811',1,0.003984,-0.000062,0.006861,0.195144,0.081514,-2.6359,0.94,0,0
71,'2024/02/28 01:11:15:844',1,0.001155,0.001603,0.006837,0.194897,0.081641,-2.635896,0.94,0,0
72,'2024/02/28 01:11:15:877',1,0.003511,0.002328,0.001941,0.194827,0.08179,-2.635912,0.94,0,0
73,'2024/02/28 01:11:15:909',1,0.002031,0.001893,0.003445,0.194959,0.081745,-2.636032,0.94,0,0
74,'2024/02/28 01:11:15:943',1,0.007041,0.000078,0.001897,0.195302,0.081574,-2.635873,0.94,0,0
75,'2024/02/28 01:11:15:977',1,0.005162,0.003139,0.008333,0.195763,0.081068,-2.635626,0.94,0,0
76,'2024/02/28 01:11:16:010',1,-0.002399,0.002906,0.015132,0.195789,0.08089,-2.635474,0.94,0,0
77,'2024/02/28 01:11:16:043',1,0.001302,0.001021,0.003035,0.195361,0.081514,-2.63578,0.94,0,0
78,'2024/02/28 01:11:16:077',1,0.009587,0.001224,0.001507,0.195335,0.081795,-2.635933,0.94,0,0
79,'2024/02/28 01:11:16:110',1,0.00898,0.004112,0.00378,0.195556,0.081451,-2.635696,0.95,0,0
80,'2024/02/28 01:11:16:143',1,-0.001063,0.001972,0.006963,0.19591,0.081055,-2.635337,0.96,0,0
81,'2024/02/28 01:11:16:178',1,-0.003143,0.003052,0.014333,0.196062,0.081062,-2.635352,0.97,0,0
82,'2024/02/28 01:11:16:210',1,-0.002774,0.000506,0.008743,0.195661,0.081536,-2.635743,0.98,0,0
83,'2024/02/28 01:11:16:249',1,0.010269,-0.000346,0.003076,0.195337,0.082003,-2.635986,0.98,0,0
84,'2024/02/28 01:11:16:277',1,0.007159,0.002591,0.002712,0.19539,0.081657,-2.635721,0.98,0,0
85,'2024/02/28 01:11:16:310',1,0.000066,0.002501,0.003928,0.195688,0.081191,-2.635409,0.98,0,0
86,'2024/02/28 01:11:16:344',1,-0.002458,0.001839,0.014796,0.195947,0.081093,-2.635386,0.99,0,0
87,'2024/02/28 01:11:16:377',1,0.003253,0.002238,0.008473,0.195638,0.081437,-2.635604,0.99,0,0
88,'2024/02/28 01:11:16:411',1,0.00642,0.001934,0.001928,0.195421,0.081665,-2.635739,1,0,0
89,'2024/02/28 01:11:16:444',1,0.003682,0.00234,0.006959,0.195477,0.081578,-2.635679,1,0,0
90,'2024/02/28 01:11:16:477',1,0.001841,0.001742,0.005862,0.195458,0.081604,-2.635706,1,0,0
91,'2024/02/28 01:11:16:520',1,0.003331,0.002217,0.005823,0.195492,0.081626,-2.635775,1,0,0
92,'2024/02/28 01:11:16:544',1,0.001921,0.001733,0.00657,0.19545,0.081553,-2.635783,1,0,0
93,'2024/02/28 01:11:16:578',1,0.001169,0.002948,0.006644,0.195381,0.081557,-2.635809,1,0,0
94,'2024/02/28 01:11:16:610',1,0.004037,0.002344,0.006988,0.195311,0.081619,-2.635837,1,0,0
95,'2024/02/28 01:11:16:644',1,-0.000002,0.002086,0.008195,0.195063,0.081813,-2.635988,1,0,0
