@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2024/02/21 17:42:42:754',1,12.75528,0.917565,7.424922,7.445279,0.204837,3.747176,3.848958,0,0,0,0,0,1,0,0
2,'2024/02/21 17:42:42:830',1,12.910984,0.90196,7.454999,7.485244,0.205424,3.734528,3.838407,0,0,0,0,0,1,0,0
3,'2024/02/21 17:42:42:831',1,12.890139,0.902747,7.43758,7.470612,0.202036,3.715613,3.820762,0,0,0,0,0,1,0,0
4,'2024/02/21 17:42:42:838',1,12.984275,0.905792,7.412523,7.453167,0.202541,3.819387,3.924281,0,0,0,0,0,1,0,0
5,'2024/02/21 17:42:42:874',1,12.922295,0.889594,7.455565,7.480264,0.201678,3.705315,3.807595,0,0,0,0,0,1,0,0
6,'2024/02/21 17:42:42:902',1,12.819901,0.932605,7.367998,7.411132,0.192974,3.833192,3.934651,0,0,0,0,0,1,0,0
7,'2024/02/21 17:42:42:963',1,12.889302,0.906762,7.392514,7.43131,0.19266,3.787978,3.889409,0,0,0,0,0,1,0,0
8,'2024/02/21 17:42:42:983',1,12.930862,0.910488,7.447585,7.480148,0.200428,3.687694,3.795559,0,0,0,0,0,1,0,0
9,'2024/02/21 17:42:43:007',1,12.902883,0.911271,7.443841,7.468942,0.206806,3.726871,3.833236,0,0,0,0,0,1,0,0
10,'2024/02/21 17:42:43:059',1,12.860593,0.913168,7.438462,7.461371,0.206854,3.788623,3.895081,0,0,0,0,0,1,0,0
11,'2024/02/21 17:42:43:070',1,12.814981,0.917592,7.442858,7.4633,0.206383,3.795806,3.89544,0,0,0,0,0,1,0,0
12,'2024/02/21 17:42:43:123',1,12.966086,0.9136,7.428978,7.456115,0.201672,3.746473,3.850582,0,0,0,0,0,1,0,0
13,'2024/02/21 17:42:43:152',1,12.937609,0.902898,7.45156,7.467286,0.208122,3.649978,3.755882,0,0,0,0,0,1,0,0
14,'2024/02/21 17:42:43:169',1,12.916785,0.933893,7.405557,7.442368,0.198969,3.781925,3.888569,0,0,0,0,0,1,0,0
15,'2024/02/21 17:42:43:221',1,13.018478,0.92035,7.446607,7.472705,0.195237,3.663432,3.764382,0,0,0,0,0,1,0,0
16,'2024/02/21 17:42:43:239',1,13.022214,0.904944,7.411161,7.446465,0.201162,3.74598,3.853127,0,0,0,0,0,1,0,0
