@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
1,'2024/02/28 19:43:17:776',1,276,240,1,1,1,1
2,'2024/02/28 19:43:17:838',1,276,240,1,1,1,1
3,'2024/02/28 19:43:17:841',1,276,240,1,1,1,1
4,'2024/02/28 19:43:17:842',1,276,240,1,1,1,1
5,'2024/02/28 19:43:17:843',1,276,240,1,1,1,1
6,'2024/02/28 19:43:17:858',1,276,240,1,1,1,1
7,'2024/02/28 19:43:17:880',1,276,240,1,1,1,1
8,'2024/02/28 19:43:17:898',1,276,240,1,1,1,1
9,'2024/02/28 19:43:17:914',1,276,240,1,1,1,1
10,'2024/02/28 19:43:17:934',1,276,240,1,1,1,1
11,'2024/02/28 19:43:17:949',1,276,240,1,1,1,1
12,'2024/02/28 19:43:17:965',1,276,240,1,1,1,1
13,'2024/02/28 19:43:17:985',1,276,240,1,1,1,1
14,'2024/02/28 19:43:18:000',1,276,240,1,1,1,1
15,'2024/02/28 19:43:18:017',1,276,240,1,1,1,1
16,'2024/02/28 19:43:18:036',1,276,240,1,1,1,1
17,'2024/02/28 19:43:18:053',1,276,240,1,1,1,1
18,'2024/02/28 19:43:18:069',1,276,240,1,1,1,1
19,'2024/02/28 19:43:18:086',1,276,240,1,1,1,1
20,'2024/02/28 19:43:18:104',1,276,240,1,1,1,1
21,'2024/02/28 19:43:18:124',1,276,240,1,1,1,1
22,'2024/02/28 19:43:18:142',1,276,240,1,1,1,1
23,'2024/02/28 19:43:18:161',1,276,240,1,1,1,1
24,'2024/02/28 19:43:18:180',1,276,240,1,1,1,1
25,'2024/02/28 19:43:18:197',1,276,240,1,1,1,1
26,'2024/02/28 19:43:18:214',1,276,240,1,1,1,1
27,'2024/02/28 19:43:18:232',1,276,240,1,1,1,1
28,'2024/02/28 19:43:18:251',1,276,240,1,1,1,1
29,'2024/02/28 19:43:18:271',1,276,240,1,1,1,1
30,'2024/02/28 19:43:18:291',1,276,240,1,1,1,1
31,'2024/02/28 19:43:18:308',1,276,240,1,1,1,1
32,'2024/02/28 19:43:18:326',1,276,240,1,1,1,1
33,'2024/02/28 19:43:18:344',1,276,240,1,1,1,1
34,'2024/02/28 19:43:18:362',1,276,240,1,1,1,1
35,'2024/02/28 19:43:18:382',1,276,240,1,1,1,1
36,'2024/02/28 19:43:18:400',1,276,240,1,1,1,1
37,'2024/02/28 19:43:18:419',1,276,240,1,1,1,1
38,'2024/02/28 19:43:18:437',1,276,240,1,1,1,1
39,'2024/02/28 19:43:18:457',1,276,240,1,1,1,1
40,'2024/02/28 19:43:18:475',1,276,240,1,1,1,1
41,'2024/02/28 19:43:18:495',1,276,240,1,1,1,1
42,'2024/02/28 19:43:18:511',1,276,240,1,1,1,1
43,'2024/02/28 19:43:18:530',1,276,240,1,1,1,1
44,'2024/02/28 19:43:18:546',1,276,240,1,1,1,1
45,'2024/02/28 19:43:22:673',2,282,208,1,1,1,1
46,'2024/02/28 19:43:22:689',2,282,208,1,1,1,1
47,'2024/02/28 19:43:22:709',2,282,208,1,1,1,1
48,'2024/02/28 19:43:22:728',2,282,208,1,1,1,1
49,'2024/02/28 19:43:22:746',2,282,208,1,1,1,1
50,'2024/02/28 19:43:22:764',2,282,208,1,1,1,1
51,'2024/02/28 19:43:22:782',2,282,208,1,1,1,1
52,'2024/02/28 19:43:22:801',2,282,208,1,1,1,1
53,'2024/02/28 19:43:22:819',2,282,208,1,1,1,1
54,'2024/02/28 19:43:22:837',2,282,208,1,1,1,1
55,'2024/02/28 19:43:22:854',2,282,208,1,1,1,1
56,'2024/02/28 19:43:22:873',2,282,208,1,1,1,1
57,'2024/02/28 19:43:22:892',2,282,208,1,1,1,1
58,'2024/02/28 19:43:27:240',3,259,202,1,1,1,1
59,'2024/02/28 19:43:27:257',3,259,202,1,1,1,1
60,'2024/02/28 19:43:27:274',3,259,202,1,1,1,1
61,'2024/02/28 19:43:27:291',3,259,202,1,1,1,1
62,'2024/02/28 19:43:27:311',3,259,202,1,1,1,1
63,'2024/02/28 19:43:27:329',3,259,202,1,1,1,1
64,'2024/02/28 19:43:27:347',3,259,202,1,1,1,1
65,'2024/02/28 19:43:27:363',3,259,202,1,1,1,1
66,'2024/02/28 19:43:27:382',3,259,202,1,1,1,1
67,'2024/02/28 19:43:27:399',3,259,202,1,1,1,1
68,'2024/02/28 19:43:27:418',3,259,202,1,1,1,1
69,'2024/02/28 19:43:27:433',3,259,202,1,1,1,1
70,'2024/02/28 19:43:27:453',3,259,202,1,1,1,1
71,'2024/02/28 19:43:27:471',3,259,202,1,1,1,1
72,'2024/02/28 19:43:27:490',3,259,202,1,1,1,1
73,'2024/02/28 19:43:27:507',3,259,202,1,1,1,1
74,'2024/02/28 19:43:27:526',3,259,202,1,1,1,1
75,'2024/02/28 19:43:27:545',3,259,202,1,1,1,1
76,'2024/02/28 19:43:27:563',3,259,202,1,1,1,1
77,'2024/02/28 19:43:27:582',3,259,202,1,1,1,1
78,'2024/02/28 19:43:27:601',3,259,202,1,1,1,1
79,'2024/02/28 19:43:27:619',3,259,202,1,1,1,1
80,'2024/02/28 19:43:31:270',4,236,237,1,1,1,1
81,'2024/02/28 19:43:31:285',4,236,237,1,1,1,1
82,'2024/02/28 19:43:31:302',4,236,237,1,1,1,1
83,'2024/02/28 19:43:31:320',4,236,237,1,1,1,1
84,'2024/02/28 19:43:31:338',4,236,237,1,1,1,1
85,'2024/02/28 19:43:31:356',4,236,237,1,1,1,1
86,'2024/02/28 19:43:31:374',4,236,237,1,1,1,1
87,'2024/02/28 19:43:31:392',4,236,237,1,1,1,1
88,'2024/02/28 19:43:31:409',4,236,237,1,1,1,1
89,'2024/02/28 19:43:31:427',4,236,237,1,1,1,1
90,'2024/02/28 19:43:31:444',4,236,237,1,1,1,1
91,'2024/02/28 19:43:31:464',4,236,237,1,1,1,1
92,'2024/02/28 19:43:31:483',4,236,237,1,1,1,1
93,'2024/02/28 19:43:31:503',4,236,237,1,1,1,1
94,'2024/02/28 19:43:35:054',5,250,273,1,1,1,1
95,'2024/02/28 19:43:35:058',5,250,273,1,1,1,1
96,'2024/02/28 19:43:35:075',5,250,273,1,1,1,1
97,'2024/02/28 19:43:35:094',5,250,273,1,1,1,1
98,'2024/02/28 19:43:35:112',5,250,273,1,1,1,1
99,'2024/02/28 19:43:35:130',5,250,273,1,1,1,1
100,'2024/02/28 19:43:35:147',5,250,273,1,1,1,1
101,'2024/02/28 19:43:35:164',5,250,273,1,1,1,1
102,'2024/02/28 19:43:35:181',5,250,273,1,1,1,1
103,'2024/02/28 19:43:35:198',5,250,273,1,1,1,1
104,'2024/02/28 19:43:35:217',5,250,273,1,1,1,1
105,'2024/02/28 19:43:35:235',5,250,273,1,1,1,1
106,'2024/02/28 19:43:35:254',5,250,273,1,1,1,1
107,'2024/02/28 19:43:35:274',5,250,273,1,1,1,1
108,'2024/02/28 19:43:35:293',5,250,273,1,1,1,1
109,'2024/02/28 19:43:35:311',5,250,273,1,1,1,1
110,'2024/02/28 19:43:35:329',5,250,273,1,1,1,1
111,'2024/02/28 19:43:35:345',5,250,273,1,1,1,1
112,'2024/02/28 19:43:35:365',5,250,273,1,1,1,1
113,'2024/02/28 19:43:35:383',5,250,273,1,1,1,1
114,'2024/02/28 19:43:35:403',5,250,273,1,1,1,1
115,'2024/02/28 19:43:35:422',5,250,273,1,1,1,1
116,'2024/02/28 19:43:35:439',5,250,273,1,1,1,1
117,'2024/02/28 19:43:39:104',6,291,282,1,1,1,1
118,'2024/02/28 19:43:39:123',6,291,282,1,1,1,1
119,'2024/02/28 19:43:39:142',6,291,282,1,1,1,1
120,'2024/02/28 19:43:39:161',6,291,282,1,1,1,1
121,'2024/02/28 19:43:39:178',6,291,282,1,1,1,1
122,'2024/02/28 19:43:39:200',6,291,282,1,1,1,1
123,'2024/02/28 19:43:39:218',6,291,282,1,1,1,1
124,'2024/02/28 19:43:39:237',6,291,282,1,1,1,1
125,'2024/02/28 19:43:39:257',6,291,282,1,1,1,1
126,'2024/02/28 19:43:39:275',6,291,282,1,1,1,1
127,'2024/02/28 19:43:39:295',6,291,282,1,1,1,1
128,'2024/02/28 19:43:39:314',6,291,282,1,1,1,1
129,'2024/02/28 19:43:39:331',6,291,282,1,1,1,1
130,'2024/02/28 19:43:39:351',6,291,282,1,1,1,1
131,'2024/02/28 19:43:39:368',6,291,282,1,1,1,1
132,'2024/02/28 19:43:39:387',6,291,282,1,1,1,1
133,'2024/02/28 19:43:39:404',6,291,282,1,1,1,1
134,'2024/02/28 19:43:43:391',7,338,255,1,1,1,1
135,'2024/02/28 19:43:43:407',7,338,255,1,1,1,1
136,'2024/02/28 19:43:43:422',7,338,255,1,1,1,1
137,'2024/02/28 19:43:43:440',7,338,255,1,1,1,1
138,'2024/02/28 19:43:43:458',7,338,255,1,1,1,1
139,'2024/02/28 19:43:43:476',7,338,255,1,1,1,1
140,'2024/02/28 19:43:43:495',7,338,255,1,1,1,1
141,'2024/02/28 19:43:43:513',7,338,255,1,1,1,1
142,'2024/02/28 19:43:43:530',7,338,255,1,1,1,1
143,'2024/02/28 19:43:43:550',7,338,255,1,1,1,1
